ID module;Nom module;Abr. Module;ID UE;Nom UE;Abréviation UE;Semestre;Semestre TP (temps partiel);Crédits ECTS;Poids CC;Poids ES;Poids UE;Remarques
446;Lab Bioanalytical Chemistry;LBAC;4461;Lab Bioanalytical Chemistry;LBAC;S5;S7;6;1;-;1;
449;Chemical Engineering;ChE;4491;Chemical Engineering;ChE;S5;S7;5;1;1;2;
450;Lab project: Advanced Bio-Analytics;LBioA;4501;Lab project: Advanced Bio-Analytics;LBioA;S6;S8;3;1;-;1;
451;Chemometrics and Data Analysis;ChDA;4511;Chemometrics and Data Analysis;ChDA;S6;S8;2;1;-;1;
452;Proteomics and Chemical Safety Industrial Chemistry and Biotechnology;PROC;4521;Proteomics and Chemical Safety Industrial Chemistry and Biotechnology;PROC;S6;S8;2;1;-;1;
453;Project: Life Sciences Application;PLSAC;4531;Project: Life Sciences Application;PLSAC;S6;S8;3;1;-;1;
454;Thermodynamique chimique - Chemische Thermodynamik;Ther;4541;Thermodynamique chimique - Chemische Thermodynamik;Ther;S4;S6;2;1;1;2;
455;Analytics of food products ;AFP;4551;Analytics of food products ;AFP;S5;S7;2;1;-;1;
456;Method Development and Green Analytical Chemistry;MDV;4561;Method Development and Green Analytical Chemistry;MDV;S5;S7;3;1;-;1;
457;Bioorganic Chemistry;BOC;4571;Bioorganic Chemistry;BOC;S5;S7;5;1;1;2;
458;Chemistry of biomolecules;Chcul ;4581;Chemistry of biomolecules;Chcul ;S5;S7;2;1;0;1;
459;Analytical chemistry in industry: From raw material to final product (Dual-Study);ASiI;4591;Analytical chemistry in industry: From raw material to final product (Dual-Study);ASiI;S6;S8;2;1;-;1;
